round,loss,accuracy,f1,precision,recall
1,0.3636670331868569,0.8971129626041465,0.4813595330308891,0.5136915378788123,0.5222227292995065
2,0.24405331309336928,0.9197442356132532,0.5597231412473582,0.5605748221668136,0.6066734567994075
3,0.2444326456919864,0.9175353613640768,0.5659431333232927,0.5824561330185415,0.6001625108592387
4,0.217612173727168,0.9276884324743266,0.5733920630919088,0.6113301442631158,0.6149606651999961
5,0.22343129149947233,0.9212555706258477,0.5710522459784618,0.5731332759824956,0.6128893358820187
6,0.20284408039130622,0.9308661112187561,0.5668344695040145,0.6397607172272004,0.6191616891380486
7,0.19091199832619957,0.9381902732028676,0.5873900917590348,0.6044736149358607,0.6385848777769396
8,0.18844335483005634,0.9404378996318543,0.6085970899302743,0.6167884577068118,0.6407341926981636
9,0.17959222761068527,0.9446618872311567,0.6156870368079601,0.6145340377373867,0.6539314444386546
10,0.17082877438085944,0.9449331524898276,0.6158136636597313,0.6131595225409638,0.6544028642683872
11,0.16957176353979472,0.9431505522185623,0.5907182235035643,0.5955265566419016,0.6384982195596728
12,0.15937394909943242,0.9480720790544468,0.5935810246884393,0.6583141033733416,0.647950876383435
13,0.16049645938942123,0.9462119744235613,0.6093902102691352,0.6088436108987506,0.6531481427761128
14,0.16502400251858643,0.9477620616159659,0.621229581857474,0.6188768356134112,0.6598155741223948
15,0.158655587105794,0.9484983530323581,0.622736692978896,0.6215088588133122,0.6590894125904418
16,0.15828873550700162,0.9473357876380546,0.612167036681241,0.6096378045581022,0.6551735160783182
17,0.15546762434503317,0.9462119744235613,0.6198437588762898,0.6608269661856789,0.6553958913461515
18,0.1587302112176284,0.947490796357295,0.6134179995969183,0.6028668303995807,0.6543399370082295
19,0.1515252899468765,0.9528385971710909,0.6528450242437149,0.6583612905811455,0.6731560811415089
20,0.1488161217133289,0.9534198798682426,0.6662772427360224,0.6925485521698775,0.6817522816581482
21,0.14996477862564866,0.9523735710133695,0.6568091212848004,0.6506567162780704,0.6830359065326985
22,0.1497364327972699,0.9523735710133695,0.6484872021008189,0.6818392970843499,0.6646609437242603
23,0.14373916590012822,0.9527223406316605,0.6500725136221587,0.7043730796437786,0.6760685786446157
24,0.14826464463668468,0.9489633791900794,0.6239730303148363,0.6779223648963758,0.6604302529706308
25,0.1499803551469656,0.9487308661112187,0.6269812161347857,0.6760782092649974,0.6590085538571869
26,0.14883394875462447,0.9514435186979268,0.6465586743359971,0.6868264207176283,0.680392824093028
27,0.14585572094262236,0.9527998449912808,0.6443732508453494,0.684422078851736,0.6725018215478342
28,0.15749785492492263,0.9443131176128657,0.5992014136652059,0.6533802842564812,0.6439166175644127
29,0.1493379246181491,0.9535748885874831,0.6692562697806036,0.7163919696777664,0.6842955948255541
30,0.1489577017454555,0.9508234838209649,0.626942246198541,0.6974195658677077,0.6586780209172747
31,0.14234331230210878,0.9550474714202674,0.6624059887787646,0.7086103993374867,0.6786661580938312
32,0.15244283213752388,0.9509784925402054,0.6286464810275855,0.6550498695684155,0.6628414879536413
33,0.14837465592708912,0.9490796357295098,0.6238406740459405,0.6894605309204195,0.6604076347818822
34,0.1423749363860103,0.9523348188335594,0.6301799692986505,0.6598408577102732,0.6620569713245723
35,0.15150527480301804,0.9489246270102694,0.6305175232819232,0.6870566872402077,0.6611390082493144
36,0.1405168904136304,0.9547762061615966,0.6665586309814768,0.7027328048413951,0.6791350206089787
37,0.14364654588921083,0.9536523929471032,0.6467668103078597,0.6645066945672703,0.6584777947112991
38,0.16058785251737495,0.9433055609378027,0.6156151308549269,0.6904986745230813,0.6482278087106674
39,0.14676300852052973,0.9507459794613446,0.6456848157737003,0.7364504249324776,0.6718760120121361
40,0.15163411145073064,0.950513466382484,0.6384800298648522,0.7011733363365094,0.6691808071753785
41,0.14078933254788029,0.9534973842278628,0.6580537301187454,0.6866145902987267,0.6896617631086294
42,0.14935144868915198,0.9503972098430536,0.6337000794275556,0.6791733609290241,0.6649970462616603
43,0.14753559979097114,0.9493509009881805,0.629256382090691,0.6851277002118132,0.659469863680476
44,0.14915286258737886,0.9548924627010269,0.6812189779917155,0.7347414513145576,0.6954928533085282
45,0.15554456507494413,0.9460957178841309,0.6301511049724304,0.7083885702667241,0.6591690401763123
46,0.13798939279318317,0.9559775237357101,0.6814891338407104,0.7299723940473801,0.6958469049243445
47,0.14661827849610742,0.9512885099786863,0.6434307157411425,0.7075520626173607,0.6709181159450288
48,0.1420836707668419,0.9536911451269134,0.641087140134145,0.6894686471871154,0.6639456488156219
49,0.13988272606362162,0.9533423755086223,0.6589789576662364,0.7050758470849561,0.6866262732624718
50,0.1375680092172876,0.9544274365433055,0.6531342602302695,0.7097228332227924,0.6840789618744358
