round,loss,accuracy,f1,precision,recall
1,0.02463869071701785,0.9965232368983445,0.9949223522283612,0.9933008665437179,0.996580686958282
2,0.012401233891966935,0.9972887627188926,0.9960333000828151,0.9943265927564369,0.9977799740239237
3,0.021364302858587852,0.996044783260502,0.9945503649280364,0.9941013278398304,0.9950123796754268
4,0.012834279056806317,0.997512041083219,0.9962588636721202,0.9943767215822074,0.998191456421127
5,0.013755894239008574,0.9970973812637556,0.9957070782393781,0.9941352721686872,0.9973136439177637
6,0.032142180846577675,0.9972887627188926,0.9959430924506686,0.9939192279764218,0.9980249056631945
7,0.014689713165583741,0.997193071991324,0.9959147518531604,0.9942837640848805,0.9975825298769156
8,0.020744619772228034,0.997129278172945,0.9956043414698652,0.9934220510230976,0.9978559903354572
9,0.017000479205030797,0.997001690536187,0.9955735670425435,0.9935170841279756,0.997691603174439
10,0.016807915081814156,0.9975439379924085,0.9963571816405461,0.994922286315962,0.9978196401941898
11,0.03402517145190856,0.9968103090810501,0.9954124331956654,0.9935502435852257,0.9973225196277608
12,0.02143357384561059,0.9957258141686071,0.993756326596916,0.9913919717497787,0.9962026901743528
13,0.01731208698911176,0.9970335874453765,0.9957229795692728,0.9949449487616431,0.9965124760696071
14,0.024605022444766443,0.9942266594367006,0.9914558767223505,0.9872734054765241,0.9958880803404313
15,0.014651101270603109,0.9976077318107875,0.9964643123606417,0.9952499710411612,0.997701568843666
16,0.027713398220766034,0.9969378967178081,0.9954516389835795,0.993193623288523,0.9977801468574041
17,0.07683196218731066,0.9941309687091321,0.9923704627205647,0.9930872393666613,0.9916960020400147
18,0.038995432161563724,0.995151669803196,0.9928681939946552,0.9893861912664113,0.9965212890968204
19,0.022749096007840364,0.9967146183534815,0.995313811437246,0.9945664107900147,0.9960725591939218
20,0.015152240958871308,0.9974801441740295,0.9962631696423013,0.9951142012161859,0.9974321585786171
21,0.0173958632814991,0.9975439379924085,0.9963177788529084,0.9950098646658828,0.9976507883160008
22,0.02977552459227895,0.9930464737966891,0.9908076191823868,0.9916307138801649,0.9900321122970447
23,0.021489647524730433,0.997831010175114,0.9966112580216204,0.9948108084098316,0.9984595007154962
24,0.041826833615736046,0.997193071991324,0.9958123695427785,0.9939141398059556,0.9977604083539742
25,0.04096650944084527,0.997129278172945,0.9957332518260065,0.9941719566259923,0.9973280007194895
26,0.035668150961865486,0.9930464737966891,0.9906572121182728,0.9900534264857407,0.9912929030462981
27,0.10714048550258938,0.996555133807534,0.9950742333323301,0.9936700401154751,0.996511477968599
28,0.011177993024803263,0.9969378967178081,0.9954790054458245,0.9936386835574438,0.9973677219395227
29,0.04612102004048084,0.997384453446461,0.996054175050342,0.9941711553214753,0.9979874207565602
30,0.015179265654449324,0.9954068450767121,0.9936763298326688,0.9925809257683076,0.9947992996161937
31,0.018159743789109787,0.9979267009026825,0.9968937652007539,0.9958105414610559,0.9979954178853733
32,0.017445519120382048,0.9969059998086185,0.995314907686221,0.993452191062158,0.9972277098564515
33,0.036098226729744845,0.996746515262671,0.9954641186618071,0.994647388053848,0.9962958217741023
34,0.05119049267319216,0.9922490510669516,0.9897001796968355,0.9899760520270398,0.9894772592153023
35,0.1250978806851198,0.9868903703231157,0.9808830469892527,0.9725250414371215,0.9903966852685719
36,0.010084137808136197,0.9974163503556506,0.9960339746372904,0.9943232151840815,0.9977867135779264
37,0.07978492133125333,0.9915473190647827,0.9875374578905869,0.9820423377625015,0.9934985116698472
38,0.06432272250522861,0.9954387419859015,0.993766370634431,0.9932085663389064,0.9943403576657645
39,0.017670147330679755,0.9966508245351026,0.9949464715980297,0.9928899681089695,0.9970631266508708
40,0.047101826932914946,0.9955344327134701,0.993811972633409,0.9932399560688667,0.9943999464048419
41,0.02429256688449506,0.9935249274345316,0.9905574815441662,0.98658751691861,0.9947527765975099
42,0.01726871382097122,0.997129278172945,0.9959093286400351,0.994587995872993,0.9972587149236679
43,0.3442665627226296,0.9463493987432617,0.9282372322308255,0.9089125063708665,0.9613676909649984
44,0.016067469286069343,0.9959809894421231,0.9945670239455798,0.9943871204250577,0.9947586690723002
45,0.028342011794344552,0.9970973812637556,0.995584237493164,0.9932939486930465,0.9979488172734773
46,0.011777954173936392,0.9977353194475456,0.9966732109898571,0.9956776713860226,0.9976833488863415
47,0.01644908938640671,0.9972249689005135,0.9961444256702812,0.9952992199817563,0.9970035733225302
48,0.01387960370869081,0.9978629070843036,0.9967858669318294,0.9955958239382863,0.9979967242469955
49,0.03228741014212391,0.996555133807534,0.9950645156476497,0.9935498942778787,0.9966144099432459
50,0.009807395575403034,0.9979267009026825,0.9969651070099953,0.9959395874310251,0.9980054724396948
