round,loss,accuracy,f1,precision,recall
1,0.019918297627544906,0.9969697936269976,0.9955563992784909,0.9936038950734428,0.9975608878888833
2,0.010429221407137763,0.9977353194475456,0.9965532143734144,0.9947878658879145,0.9983633366631163
3,0.010044488887050066,0.9972887627188926,0.9959875357582407,0.9944486414256538,0.9975622653607272
4,0.009649573892802691,0.9976715256291665,0.9964557709884561,0.994686997916554,0.9982682710776943
5,0.011197900288322987,0.99744824726484,0.9962040334606868,0.9945049024166316,0.9979449220382022
6,0.009341648531576109,0.9977353194475456,0.9965475511938441,0.9947956556767581,0.9983437266650464
7,0.009035285518646623,0.997767216356735,0.996584024557186,0.9949236565656551,0.9982843427393507
8,0.009831741498370499,0.997639628719977,0.9963977032591679,0.9945137296260032,0.9983316978857623
9,0.009664944507158057,0.9977034225383561,0.9965100982075844,0.9947440209393462,0.9983207547352718
10,0.00927948777291114,0.997639628719977,0.9963920466911723,0.9945214749273498,0.9983120878876925
11,0.009693759137707597,0.997831010175114,0.9966195065982603,0.9950244825810354,0.9982515261260435
12,0.00897841529517189,0.9978629070843036,0.9966919676419433,0.9949533692358741,0.998474386880526
13,0.007885615778966692,0.9980223916302511,0.9969661047526912,0.9953948364448113,0.9985730749999101
14,0.008395765406836682,0.9978629070843036,0.9967350887798138,0.9951015453737617,0.9984079186213307
15,0.00890031698820061,0.997767216356735,0.9965848928984047,0.9948757750812037,0.9983375073475957
16,0.00817017938870307,0.997831010175114,0.9966523057547167,0.9951114936323546,0.9982283207453599
17,0.008112471157535838,0.9977353194475456,0.9964797385142126,0.9948308639207826,0.9981671702402032
18,0.00891980453892855,0.9976715256291665,0.9964293690155555,0.9946013827210229,0.9983058685702418
19,0.00849310806205563,0.997767216356735,0.9965566921418103,0.994885865114592,0.9982687756236535
20,0.008515058800400412,0.9977034225383561,0.9964670638047893,0.9945963749396487,0.9983872229944672
21,0.009297777368299353,0.9976077318107875,0.9963318021388624,0.9945286411223523,0.9981816117375945
22,0.009118925409774768,0.997831010175114,0.9966534042648192,0.995006450382693,0.9983398678480557
23,0.008760168382818385,0.997639628719977,0.9963692551251222,0.994580275859764,0.9982045836673691
24,0.008943916569846366,0.9977353194475456,0.9965605321046415,0.9951075501133274,0.9980438149709678
25,0.008438682632214612,0.9979267009026825,0.9968128073747374,0.9954531446381171,0.9981997868686819
26,0.008643082336778398,0.997767216356735,0.9965895809127149,0.9949426232009654,0.9982760480918795
27,0.008488906156352172,0.997767216356735,0.9965848969205637,0.9948741516492292,0.9983387939492802
28,0.008456370139458439,0.9978948039934931,0.9967989224799748,0.9952932922539698,0.9983374837674758
29,0.00868927640173184,0.997958597811872,0.9968579314491162,0.9953144953097238,0.9984362717546924
30,0.008996899384366371,0.9980223916302511,0.9969094781316983,0.9954726078182197,0.9983772290575744
31,0.008828116571064979,0.997767216356735,0.996556809935931,0.9948574126230391,0.9982979668708789
32,0.00878515870759622,0.9979904947210615,0.996886943708826,0.9956054206002896,0.9981925661199862
33,0.008226966304423274,0.997958597811872,0.9968251781071468,0.995202094719742,0.9984860951792329
34,0.009083070843001896,0.9978948039934931,0.996765127955145,0.9952861370683538,0.9982757600893202
35,0.00968563602768654,0.9977991132659245,0.99659438715428,0.9948806846575347,0.9983501300478789
36,0.009547918626754368,0.9975439379924085,0.996235439451045,0.9943517798953885,0.998168902007643
37,0.007865998660950476,0.9979267009026825,0.9967809810917572,0.9952634215677781,0.9983319661486926
38,0.008429319941979825,0.9977991132659245,0.9965738900813114,0.9947306945983467,0.9984657200329469
39,0.008790048996015574,0.9980223916302511,0.9969803607654435,0.9956315777039321,0.9983555191613019
40,0.008344502285903208,0.9977991132659245,0.9966082923324033,0.995115878325335,0.9981325742092705
41,0.00902025808661138,0.9977991132659245,0.9965784068746054,0.9948272910274788,0.9983737829283209
42,0.008693878159044646,0.997831010175114,0.9966740113732377,0.995157335190021,0.9982242778629876
43,0.008894725489445188,0.9978629070843036,0.9966908768007188,0.9950581817368599,0.9983628397778305
44,0.009184651329241757,0.99808618544863,0.9970411545524417,0.9954698014036893,0.9986482101066847
45,0.00842022967648,0.9980542885394406,0.9969734634897323,0.9956396745612575,0.9983334122475761
46,0.008600330321648128,0.9977991132659245,0.9965727498886442,0.9948351266918182,0.9983541729302512
47,0.008207462400813728,0.9978629070843036,0.9966920722596,0.9949249675540818,0.9985035781277515
48,0.008170719564424231,0.9979267009026825,0.9967591837355252,0.9952462000882105,0.9983068177838396
49,0.00809495308468115,0.9980223916302511,0.9969594491385447,0.9955082109381902,0.9984419178991446
50,0.008719244307177743,0.9976715256291665,0.9964567818572135,0.9946108158522008,0.9983506269331647
