round,loss,accuracy,f1,precision,recall
1,0.018252985026923966,0.997001690536187,0.9955896227558335,0.9935346294761559,0.9977024149671406
2,0.00972982698199786,0.9976077318107875,0.9963374652922616,0.9945208705005754,0.9982012217356643
3,0.009419871612361028,0.9975439379924085,0.9963108467375493,0.9946393644946616,0.9980234190766818
4,0.00888668983439551,0.9976077318107875,0.9963384013652776,0.9944733158328327,0.9982543863439092
5,0.008493601408373496,0.9976077318107875,0.996363597252964,0.9946614958423816,0.9981065283503503
6,0.008741525101149972,0.9976715256291665,0.9964555270851453,0.9947419185284188,0.998211175184928
7,0.010113843045844489,0.997512041083219,0.9962035254370701,0.9943206988858753,0.9981363488287126
8,0.008357937047425823,0.997639628719977,0.9963965479619609,0.9946163562998716,0.9982214373847509
9,0.0089280934247912,0.9979267009026825,0.9968515821143311,0.9954776543000874,0.9982531603596535
10,0.009198559169413258,0.9974801441740295,0.9961671768392348,0.9941934517236366,0.9981957327544083
11,0.01016440180129253,0.9979267009026825,0.996835589563761,0.9953950834989306,0.9983060044873211
12,0.009815848796133134,0.9976715256291665,0.9964705411282754,0.9948735899950968,0.998103879847331
13,0.008238819633602519,0.9976077318107875,0.9963319328007392,0.9945003680660908,0.9982108029848199
14,0.00917597609302409,0.9977034225383561,0.9964660282297789,0.9946724053513278,0.9983048671389969
15,0.009591997178872103,0.9976077318107875,0.9963602632289713,0.9944621973991984,0.9983087259559876
16,0.010463671011735185,0.99744824726484,0.9961341822847486,0.9942364327714336,0.998082110321692
17,0.008859464524254568,0.997639628719977,0.996375040254658,0.9945425355952349,0.9982546715143488
18,0.009246695314132044,0.997639628719977,0.9963695033827095,0.9945237037742575,0.99826296616182
19,0.007980993054005054,0.9976715256291665,0.9964069499143562,0.9945752680783899,0.9982859380915946
20,0.00834018448718487,0.9977034225383561,0.9964876850024309,0.9947180789260672,0.9983008242566247
21,0.010226715671428358,0.9975758349015981,0.9962990879263426,0.994517173635546,0.9981250851976445
22,0.007904612929554931,0.9979904947210615,0.9969116502957093,0.9953645590951473,0.9984926866967915
23,0.008321399914674938,0.9977034225383561,0.9964444029515704,0.9946268644898099,0.9983089100213693
24,0.00902400518605239,0.9976715256291665,0.9964351497908146,0.9945652939301356,0.9983546698155369
25,0.008068479801525542,0.9977991132659245,0.9965794424496159,0.9947512606157997,0.9984561387837912
26,0.009043406867218648,0.997958597811872,0.9968251781071468,0.995202094719742,0.9984860951792329
27,0.008723321277853135,0.9977353194475456,0.9965045168420037,0.9946479713510689,0.998410194924242
28,0.008216629737302104,0.9980542885394406,0.996959321228675,0.9954031178955001,0.9985509680861844
29,0.008157276714713177,0.9978948039934931,0.9967351012287082,0.9949956030529781,0.998518255410055
30,0.008569092682748183,0.997958597811872,0.9968261394818715,0.9951256085725442,0.9985684510347032
31,0.008098676489699669,0.9980542885394406,0.9969819508384379,0.9953722110961337,0.9986292810592825
32,0.007898571954923553,0.997831010175114,0.9966113561420221,0.9947823553143722,0.9984886919627215
33,0.007856561226415272,0.9976715256291665,0.9964396576046805,0.9946601739200236,0.9982640193125953
34,0.008644210776427092,0.9975439379924085,0.996219507622678,0.994298649412754,0.998192554888085
35,0.00749112549306647,0.9976077318107875,0.9963375893687347,0.9944926227647443,0.9982304129828896
36,0.008365603472420168,0.9977353194475456,0.9965045168420037,0.9946479713510689,0.998410194924242
37,0.008584976450373729,0.997958597811872,0.9968261394818715,0.9951256085725442,0.9985684510347032
38,0.008407539825598867,0.997639628719977,0.9963977032591679,0.9945137296260032,0.9983316978857623
39,0.007985838929274038,0.9980223916302511,0.9969444717377334,0.9953204859552137,0.9986063091295078
40,0.008425641319306235,0.997831010175114,0.9966818276032087,0.994939531695823,0.9984669820664489
41,0.008177368705586722,0.9979904947210615,0.996885293087958,0.9952229967775105,0.9985873800821056
42,0.010597089909520987,0.997767216356735,0.9965364305344098,0.9946790660496414,0.9984427481031724
43,0.0077449340080472965,0.997958597811872,0.9968750854666829,0.9952376983432235,0.9985507840208029
44,0.00878483027026393,0.997958597811872,0.9968750854666829,0.9952376983432235,0.9985507840208029
45,0.010180791091322859,0.9976077318107875,0.9963602632289713,0.9944621973991984,0.9983087259559876
46,0.009960242599474856,0.9977034225383561,0.9964942283888604,0.9946623801563332,0.9983735988629394
47,0.008436235881644633,0.997831010175114,0.9966818276032087,0.994939531695823,0.9984669820664489
48,0.009489315065334281,0.9977991132659245,0.9965738900813114,0.9947306945983467,0.9984657200329469
49,0.011248583375092519,0.9978948039934931,0.9967295383203109,0.9949766282701074,0.9985265500575261
50,0.009585795083489456,0.9979904947210615,0.996863618582576,0.995177333713464,0.9985914229644778
