round,loss,accuracy,f1,precision,recall
1,0.03006125095440839,0.996108577078881,0.9943367983851834,0.9918989944718477,0.9968548553898146
2,0.024506357246943628,0.9955344327134701,0.9938100476374859,0.9926253770526395,0.9950210028130866
3,0.018188893177027668,0.997384453446461,0.9961172370108178,0.9945226389187374,0.9977495532212146
4,0.011632008706175083,0.9972887627188926,0.9959626299024598,0.9946327548556169,0.9973192406766883
5,0.015483849712885495,0.997639628719977,0.9964158001815083,0.9948954293373975,0.9979689688548147
6,0.01452933685208685,0.9970335874453765,0.9954770339256731,0.9931059314386107,0.9979260787946117
7,0.01580376569591612,0.997639628719977,0.9963649067472755,0.9944555837472453,0.9983257120192206
8,0.015350974413625136,0.9975758349015981,0.9963193210901506,0.9947192858448021,0.9979549725231788
9,0.011479353110746078,0.9973525565372715,0.9960438142370426,0.9946128480171875,0.9975028461248931
10,0.017943499423007554,0.9977034225383561,0.996561060577983,0.9952666591934992,0.9978804246534239
11,0.01865683677305558,0.997384453446461,0.9960930398992531,0.9941439536518617,0.9980953169369295
12,0.030727533254883414,0.99744824726484,0.9961361751395362,0.9945385557430201,0.997769652215043
13,0.01213995874372213,0.997639628719977,0.9965018043464264,0.9953019151504211,0.9977245407734407
14,0.023460194399195812,0.9978948039934931,0.9967262930325403,0.9952872230191377,0.9981957685544919
15,0.01296571511476781,0.997001690536187,0.9956949847835512,0.9941076597733984,0.9973183520602107
16,0.027267492848765926,0.997065484354566,0.9955640903413693,0.9935913729118957,0.9975910209582961
17,0.033650834695638496,0.9934292367069631,0.9915269945204843,0.9918920722924462,0.9912122979596121
18,0.020596687989983826,0.997958597811872,0.9968645562139113,0.9957126147534292,0.9980356808087579
19,0.013077971101221508,0.9972568658097031,0.9960087706847809,0.9946784682382377,0.9973668719755572
20,0.01745580581283507,0.9976715256291665,0.996495752792007,0.9951176973413574,0.9979002125626899
21,0.02326759287767851,0.997065484354566,0.9957009228715882,0.9943009802900928,0.9971293014607528
22,0.015769050144461446,0.997767216356735,0.996630055510554,0.9952906627213957,0.9979942767168669
23,0.01842554378729895,0.997639628719977,0.9964397602434223,0.9947344257640214,0.9981854469744653
24,0.01545371000663175,0.9976077318107875,0.9964365211189626,0.9951487838629842,0.9977470289052564
25,0.01693271336187106,0.997512041083219,0.9962454639649101,0.994542765242508,0.9979888113157311
26,0.020154152847146077,0.9979904947210615,0.996923884409777,0.9958109740037987,0.9980546098561603
27,0.011604387325833042,0.9977353194475456,0.996545484097739,0.9955190998328625,0.9975889399526676
28,0.03550453094542845,0.9969059998086185,0.9953766322246398,0.9937963013179045,0.9969924870039429
29,0.011200744394394882,0.997831010175114,0.9967622384277344,0.9958918487778899,0.9976447049156294
30,0.029299326398756105,0.9957577110777965,0.9936311071106837,0.9905163483961138,0.9968817476414724
31,0.023323747867783233,0.9949283914388696,0.9931168302515878,0.9928215761763509,0.9934285415459793
32,0.018102053410745018,0.9976077318107875,0.9963774596993672,0.9948936268660017,0.9978915457151106
33,0.011592209707921937,0.9980223916302511,0.9970227224295753,0.9959358351867188,0.9981269679342469
34,0.021396579340908765,0.9978948039934931,0.9967172337399478,0.995067141645935,0.9984062608076008
35,0.00990225827230353,0.9980223916302511,0.9969849685634402,0.9957537836685393,0.9982382506145034
36,0.01686234411772214,0.997512041083219,0.9962827432637551,0.994720345481174,0.9978788152371589
37,0.013865849415842424,0.9979904947210615,0.9968867809642786,0.9956599587033714,0.9981367568289041
38,0.009951585478001292,0.99808618544863,0.9970883939103777,0.9957910724955858,0.9984100220907617
39,0.019366076731591735,0.9979904947210615,0.9969030624356148,0.9956581761964591,0.9981701998412283
40,0.011510233516362309,0.9980223916302511,0.9969537748110221,0.9955145918783835,0.9984235945027592
41,0.012487889875974127,0.99808618544863,0.9970599592686471,0.9958575497267843,0.9982841944740528
42,0.0261434992119024,0.997512041083219,0.9963245382980762,0.9955798423633534,0.9970802470249198
43,0.017562724223391852,0.997831010175114,0.9966091894335153,0.9949614783448888,0.9982960756062397
44,0.01081838726049202,0.9979267009026825,0.996926648172877,0.9959022308839315,0.9979695122821399
45,0.015092240999255728,0.997831010175114,0.9967222817260367,0.9953156250880838,0.998156019444211
46,0.014853029071240273,0.9977353194475456,0.9965915456721446,0.994888721994668,0.9983356964400145
47,0.02015887827259351,0.997831010175114,0.9966896720091452,0.9953158068751361,0.9980917066229311
48,0.03858147454188413,0.9972568658097031,0.995921129329258,0.9939963529594114,0.9978972671389044
49,0.01632104322491962,0.9973525565372715,0.9961675164684036,0.9951467518020111,0.9972041042368482
50,0.015269636623187626,0.9980223916302511,0.9970396195692969,0.9959440688763638,0.9981539064586811
