round,loss,accuracy,f1,precision,recall
1,0.012955223634659157,0.997001690536187,0.9964826767982586,0.9954352416731481,0.9975476312856959
2,0.010926386006749729,0.9972568658097031,0.9967788706465437,0.9962080169391583,0.9973548588495271
3,0.010266336614749263,0.9976077318107875,0.9971917665592063,0.996465114236502,0.9979267627696686
4,0.011597769631743568,0.9974801441740295,0.9970443765206756,0.9959261551155115,0.9981825710867764
5,0.00953548246321569,0.9975439379924085,0.9971168803341185,0.9963903376922192,0.9978517660749199
6,0.008520226489361894,0.9977353194475456,0.9973413857471387,0.9966427061359197,0.99804777032298
7,0.008330119352869706,0.9980542885394406,0.997715047625146,0.9971856559109544,0.998248838779607
8,0.008357083779550932,0.9978948039934931,0.9975282557549344,0.9968999307029269,0.9981627974693865
9,0.008352259650859842,0.997958597811872,0.9976023267854183,0.9971440659967361,0.9980638791470187
10,0.00808880335709749,0.99808618544863,0.9977525707333397,0.9972089517368383,0.9983008300450744
11,0.007502816081225429,0.9981180823578195,0.9977899640964526,0.9972604925748213,0.9983238354743558
12,0.0120196418922934,0.9975758349015981,0.9971562067730602,0.996107346270297,0.9982226015384343
13,0.008937178563834866,0.997958597811872,0.9976027421155622,0.9970592870133164,0.9981508366555769
14,0.01459775086545924,0.997512041083219,0.9970817056262988,0.9959773078906653,0.9982055765160578
15,0.01107794109500553,0.99808618544863,0.9977533484932206,0.9970399781264341,0.9984747450621909
16,0.007264805822385181,0.9982456699945775,0.9979390827889867,0.9975802627137333,0.9982999138467366
17,0.0068242584479337055,0.99808618544863,0.9977527004510771,0.9971807258344454,0.9983298158812605
18,0.006126362124924884,0.9981818761761986,0.9978645106123698,0.9974202368947472,0.9983118746605462
19,0.007460590252939219,0.9983413607221461,0.9980516653845499,0.9976499654628657,0.9984558876431389
20,0.009845602087890686,0.9980542885394406,0.9977149156898415,0.9972139157363564,0.9982198529434209
21,0.007905827514131571,0.9982456699945775,0.9979392019143158,0.9975518493853617,0.9983288996829227
22,0.0086950075511947,0.9979267009026825,0.9975667585324979,0.9967269926232779,0.9984176895881566
23,0.009480094651505535,0.99808618544863,0.9977527004510771,0.9971807258344454,0.9983298158812605
24,0.00990216947745211,0.997767216356735,0.9973790576578128,0.9966380435663712,0.9981287474246334
25,0.008170732996498497,0.998277566903767,0.9979767294378018,0.9975750900255868,0.99838089094839
26,0.008848479411023112,0.9981180823578195,0.9977909836828867,0.9970352617418108,0.9985557221638444
27,0.009240170932442802,0.9975758349015981,0.9971557160572172,0.9961906011865216,0.9981356440298761
28,0.008581311019665956,0.9977034225383561,0.9973054152121005,0.9963400089050831,0.9982856374193735
29,0.008105549176912762,0.9981180823578195,0.9977909836828867,0.9970352617418108,0.9985557221638444
30,0.007524237626727802,0.9982456699945775,0.997939797039066,0.9974101659025549,0.998473828863853
31,0.005380033867739027,0.9982456699945775,0.9979400348549201,0.9973536710918378,0.9985318005362254
32,0.006228202349980143,0.9980223916302511,0.9976776564244509,0.9971341193750773,0.9982258333503257
33,0.0063820114677835,0.9980542885394406,0.9977157067457862,0.9970447388217741,0.9983937679605375
34,0.007781875650481468,0.9981180823578195,0.9977900916701524,0.9972322496316237,0.9983528213105418
35,0.009728521769722295,0.998149979267009,0.9978273596131713,0.9973120440880258,0.998346840903637
36,0.008646571795997452,0.9982137730853881,0.9979017934910538,0.9975002145883078,0.9983058942536414
37,0.007601281016241527,0.998277566903767,0.9979769632251967,0.997518356959449,0.9984388626207623
38,0.010312728589678143,0.998149979267009,0.9978287373959617,0.9970025839793282,0.998665685101684
39,0.007515636057897786,0.9979904947210615,0.9976405397073105,0.9970262184285532,0.9982607995934165
40,0.007292277539134901,0.99808618544863,0.9977527004510771,0.9971807258344454,0.9983298158812605
41,0.010049633827962772,0.9977353194475456,0.997341539009382,0.9966146673250673,0.9980767561591661
42,0.008629929350549015,0.9981818761761986,0.9978646339654902,0.997391908827773,0.9983408604967323
43,0.007768950774295807,0.9977991132659245,0.9974176152886796,0.9964659775418192,0.9983836395434035
44,0.006924593625370303,0.99808618544863,0.9977512715490292,0.9974926142380725,0.9980109716832135
45,0.006320943810629001,0.9981818761761986,0.9978645106123698,0.9974202368947472,0.9983118746605462
46,0.008943593963524864,0.99808618544863,0.9977524409791427,0.9972372031208437,0.9982718442088883
47,0.008290967201402863,0.9981818761761986,0.997866111502144,0.9970539590655365,0.9986886905309653
48,0.009081804444870327,0.9982456699945775,0.9979399159637015,0.9973819057533521,0.9985028147000392
49,0.007531881395168241,0.9980542885394406,0.997715179523378,0.9971574215707597,0.9982778246157931
50,0.010126869719456796,0.9983413607221461,0.9980516653845499,0.9976499654628657,0.9984558876431389
