round,loss,accuracy,f1,precision,recall
1,0.06893389379912704,0.9944818347102166,0.9919510651514775,0.98832515865,0.9957608736456154
2,0.07900513783439483,0.9593952346017671,0.9483149130272863,0.9670245456277395,0.9351083024919798
3,0.025450258032596533,0.996746515262671,0.9952875445813494,0.9934456469781696,0.9971775492726784
4,0.029182864107716294,0.9948645976204906,0.9931409730969338,0.9925919200818698,0.9937102416906863
5,0.018446541968100794,0.997065484354566,0.9956845738350893,0.9938130718893567,0.9976048641960807
6,0.017500450715453912,0.9968422059902395,0.9954205584108525,0.9941326346520313,0.9967346474939496
7,0.014584711552255318,0.9972249689005135,0.9959911663209164,0.9943085882484394,0.9977121113853752
8,0.013766246941948591,0.9973525565372715,0.9961036908568224,0.9943346167410528,0.9979165683864147
9,0.013782293488483994,0.9975439379924085,0.9963441554068139,0.994612874826002,0.9981169786848997
10,0.011705675626421445,0.997320659628082,0.9960755499812777,0.994420738726568,0.9977679777226579
11,0.012780478342821252,0.9975439379924085,0.996317952274733,0.9944704501410262,0.998212958671898
12,0.010013982923833431,0.9973525565372715,0.9960530486561457,0.9943225262772799,0.9978252059612753
13,0.011893504601895186,0.9976077318107875,0.9964089652044661,0.9946003686927218,0.9982631542965463
14,0.009736678649500494,0.9975758349015981,0.9963203503574337,0.9946459766042381,0.9980347551752804
15,0.011249449379531809,0.9976077318107875,0.996432063160615,0.9950270330853442,0.9978642974520546
16,0.009862735838139562,0.9976077318107875,0.9963385255463918,0.9944449914831571,0.9982835775911346
17,0.011279755801212708,0.9977034225383561,0.9965889618781629,0.995197377071021,0.9980074833321044
18,0.009906461660489953,0.9975758349015981,0.9962796209278711,0.9943198580606725,0.9982938397909578
19,0.01128661853530661,0.997767216356735,0.9966309951747649,0.9952134038728402,0.9980766325723374
20,0.009558725181257605,0.9976077318107875,0.9963601326771976,0.9944903939178364,0.9982795347087623
21,0.01091660699065993,0.997767216356735,0.9966309951747649,0.9952134038728402,0.9980766325723374
22,0.010005414633261408,0.9977034225383561,0.9964670638047893,0.9945963749396487,0.9983872229944672
23,0.010832572559683834,0.9977353194475456,0.9965935357022765,0.9951617177656024,0.9980536606425627
24,0.00964801012239074,0.9977034225383561,0.9964885717947153,0.9946701445975451,0.9983539888648697
25,0.010410983390443005,0.9981180823578195,0.9971411432074021,0.9960022623507935,0.9982990806390828
26,0.00996163816407326,0.9977353194475456,0.9965045168420037,0.9946479713510689,0.998410194924242
27,0.009458870681636984,0.998277566903767,0.9973554659980367,0.9963505037549782,0.9983762157762275
28,0.011485691835191653,0.9976715256291665,0.9964296172731427,0.9945448106355164,0.9983642510646926
29,0.009143660730014654,0.9980542885394406,0.9970006557796834,0.9957593972341157,0.9982652654266504
30,0.011248617744897715,0.9977991132659245,0.9966243615797701,0.9951682413765692,0.9981102079305127
31,0.009262270641563947,0.9982137730853881,0.997247244492796,0.9962153170586524,0.998295221822092
32,0.010431036336516274,0.9977991132659245,0.9966459927296718,0.9952428154479981,0.9980769738009151
33,0.009356716138080331,0.9982137730853881,0.9972479740059303,0.9961661508790556,0.998348386430337
34,0.010823256073544516,0.9980223916302511,0.9969199765979284,0.9955058689146592,0.9983631574262881
35,0.009017390862060371,0.9980223916302511,0.9969631571571054,0.9957074980073876,0.9982422934968759
36,0.011103648721749553,0.9979267009026825,0.9967741300197343,0.9954024324423213,0.9981741910040703
37,0.009006805495596047,0.9982137730853881,0.9972625721683708,0.9963759377871992,0.9981613084406386
38,0.010589791308324605,0.99808618544863,0.9970177083292847,0.9955498355354976,0.9985166055061607
39,0.009571705296677014,0.998149979267009,0.9971663484893531,0.996175819875175,0.9981725720717065
40,0.010701868154815775,0.9981180823578195,0.997055187367901,0.9956016184074298,0.9985395774359354
41,0.009641555109716902,0.998149979267009,0.9971664536374816,0.9961469554849993,0.9982017633189318
42,0.009863549449638253,0.9981180823578195,0.9971174338738079,0.996165373172508,0.9980838891211166
43,0.012120987604079031,0.9978948039934931,0.9968075434741338,0.9955081831410766,0.9981307957797074
44,0.00965636659119274,0.99808618544863,0.9971842510016855,0.9964169136773736,0.997961479224988
45,0.01198300186112311,0.9977991132659245,0.9966716141581061,0.994954242479856,0.9984303860051463
46,0.00984076670651649,0.9981818761761986,0.997280714706058,0.9964357864513096,0.9981376348121962
47,0.011001352894638515,0.99808618544863,0.9970270800312708,0.9957412128097345,0.9983365911019617
48,0.009620633366908472,0.9982456699945775,0.9973616261640558,0.9964765132993323,0.9982589979608973
49,0.011849865555288006,0.9982137730853881,0.9971950901731582,0.9957951459728425,0.998624060340957
50,0.01029218320274504,0.998149979267009,0.997219727834152,0.9964942828961388,0.9979539940538531
